AIRPORT,Year,Month,Domestic_In,Domestic_Out,Domestic_Total,International_In,International_Out,International_Total,Pax_In,Pax_Out,Pax_Total
BRISBANE,1999,12,330330,324591,654921,102433,101947,204380,432763,426538,859301
CAIRNS,1999,12,76999,78172,155171,27073,23924,50997,104072,102096,206168
CANBERRA,1999,12,73128,77864,150992,0,0,0,73128,77864,150992
DARWIN,1999,12,28791,34454,63245,4613,5866,10479,33404,40320,73724
GOLD COAST,1999,12,82473,80036,162509,455,558,1013,82928,80594,163522
HAMILTON ISLAND,1999,12,14602,13226,27828,0,0,0,14602,13226,27828
HOBART,1999,12,42520,36499,79019,0,0,0,42520,36499,79019
KARRATHA,1999,12,5735,7353,13088,0,0,0,5735,7353,13088
LAUNCESTON,1999,12,26270,23273,49543,0,0,0,26270,23273,49543
MACKAY,1999,12,11572,12060,23632,0,0,0,11572,12060,23632
MELBOURNE,1999,12,485192,504325,989517,113547,127274,240821,598739,631599,1230338
PERTH,1999,12,141806,144865,286671,60732,68372,129104,202538,213237,415775
ROCKHAMPTON,1999,12,11531,11880,23411,0,0,0,11531,11880,23411
SUNSHINE COAST,1999,12,13657,12298,25955,0,0,0,13657,12298,25955
SYDNEY,1999,12,634117,602879,1236996,321849,342036,663885,955966,944915,1900881
TOWNSVILLE,1999,12,25086,28676,53762,0,0,0,25086,28676,53762
NEWCASTLE,1999,12,7649,7832,15481,0,0,0,7649,7832,15481
ADELAIDE,2000,1,152690,151419,304109,12600,10158,22758,165290,161577,326867
ALICE SPRINGS,2000,1,28552,27927,56479,0,0,0,28552,27927,56479
All Australian Airports,2000,1,2370043,2370043,4740086,719427,685967,1405394,3089470,3056010,6145480
BALLINA,2000,1,4835,5067,9902,0,0,0,4835,5067,9902
BRISBANE,2000,1,320011,322012,642023,107017,92287,199304,427028,414299,841327
CAIRNS,2000,1,74969,77009,151978,23591,24206,47797,98560,101215,199775
CANBERRA,2000,1,63567,59407,122974,0,0,0,63567,59407,122974
DARWIN,2000,1,33972,29811,63783,6403,4728,11131,40375,34539,74914
GOLD COAST,2000,1,96104,101751,197855,701,602,1303,96805,102353,199158
HAMILTON ISLAND,2000,1,14887,17294,32181,0,0,0,14887,17294,32181
HOBART,2000,1,40693,47623,88316,0,0,0,40693,47623,88316
KARRATHA,2000,1,6539,5485,12024,0,0,0,6539,5485,12024
LAUNCESTON,2000,1,26320,30386,56706,0,0,0,26320,30386,56706
MACKAY,2000,1,9993,10152,20145,0,0,0,9993,10152,20145
MELBOURNE,2000,1,513364,486321,999685,138776,126770,265546,652140,613091,1265231
PERTH,2000,1,148560,147709,296269,72336,64484,136820,220896,212193,433089
ROCKHAMPTON,2000,1,10388,10552,20940,0,0,0,10388,10552,20940
SUNSHINE COAST,2000,1,14903,16976,31879,0,0,0,14903,16976,31879
SYDNEY,2000,1,600155,618569,1218724,357512,362109,719621,957667,980678,1938345
TOWNSVILLE,2000,1,26145,23184,49329,0,0,0,26145,23184,49329
NEWCASTLE,2000,1,7434,7383,14817,0,0,0,7434,7383,14817
ADELAIDE,2000,2,148268,148009,296277,12498,8095,20593,160766,156104,316870
ALICE SPRINGS,2000,2,27448,26772,54220,0,0,0,27448,26772,54220
All Australian Airports,2000,2,2257069,2257069,4514138,666259,590819,1257078,2923328,2847888,5771216
BALLINA,2000,2,4283,4358,8641,0,0,0,4283,4358,8641
BRISBANE,2000,2,293369,293418,586787,99603,83005,182608,392972,376423,769395
CAIRNS,2000,2,68766,70218,138984,26080,23720,49800,94846,93938,188784
CANBERRA,2000,2,79976,80458,160434,0,0,0,79976,80458,160434
DARWIN,2000,2,27201,26831,54032,5025,4114,9139,32226,30945,63171
GOLD COAST,2000,2,70442,77352,147794,641,565,1206,71083,77917,149000
HAMILTON ISLAND,2000,2,11492,11564,23056,0,0,0,11492,11564,23056
HOBART,2000,2,40624,38222,78846,0,0,0,40624,38222,78846
KARRATHA,2000,2,5869,5955,11824,0,0,0,5869,5955,11824
LAUNCESTON,2000,2,24117,22652,46769,0,0,0,24117,22652,46769
MACKAY,2000,2,9524,9627,19151,0,0,0,9524,9627,19151
MELBOURNE,2000,2,491067,489398,980465,126905,106335,233240,617972,595733,1213705
PERTH,2000,2,121176,123532,244708,66068,52829,118897,187244,176361,363605
ROCKHAMPTON,2000,2,10539,10501,21040,0,0,0,10539,10501,21040
SUNSHINE COAST,2000,2,9940,9956,19896,0,0,0,9940,9956,19896
SYDNEY,2000,2,605977,599847,1205824,328992,311707,640699,934969,911554,1846523
TOWNSVILLE,2000,2,24135,24290,48425,0,0,0,24135,24290,48425
NEWCASTLE,2000,2,7489,7535,15024,0,0,0,7489,7535,15024
ADELAIDE,2000,3,171672,175963,347635,10494,10812,21306,182166,186775,368941
ALICE SPRINGS,2000,3,29987,29703,59690,0,0,0,29987,29703,59690
All Australian Airports,2000,3,2535211,2535211,5070422,626792,664433,1291225,3162003,3199644,6361647
BALLINA,2000,3,4249,4242,8491,0,0,0,4249,4242,8491
BRISBANE,2000,3,328007,326983,654990,100516,87502,188018,428523,414485,843008
CAIRNS,2000,3,77908,74469,152377,25976,28293,54269,103884,102762,206646
CANBERRA,2000,3,89090,90563,179653,0,0,0,89090,90563,179653
DARWIN,2000,3,32183,31415,63598,4930,5206,10136,37113,36621,73734
GOLD COAST,2000,3,77682,80019,157701,862,656,1518,78544,80675,159219
HAMILTON ISLAND,2000,3,13069,12589,25658,0,0,0,13069,12589,25658
HOBART,2000,3,40146,42293,82439,0,0,0,40146,42293,82439
KARRATHA,2000,3,6591,6665,13256,0,0,0,6591,6665,13256
LAUNCESTON,2000,3,25205,26477,51682,0,0,0,25205,26477,51682
MACKAY,2000,3,11362,11626,22988,0,0,0,11362,11626,22988
MELBOURNE,2000,3,549175,553164,1102339,117411,127177,244588,666586,680341,1346927
PERTH,2000,3,144410,141810,286220,62341,66451,128792,206751,208261,415012
ROCKHAMPTON,2000,3,12442,12612,25054,0,0,0,12442,12612,25054
SUNSHINE COAST,2000,3,11992,11530,23522,0,0,0,11992,11530,23522
SYDNEY,2000,3,673539,662304,1335843,303770,337919,641689,977309,1000223,1977532
TOWNSVILLE,2000,3,27341,27690,55031,0,0,0,27341,27690,55031
NEWCASTLE,2000,3,8566,8844,17410,0,0,0,8566,8844,17410
ADELAIDE,2000,4,168893,170467,339360,11000,12737,23737,179893,183204,363097
ALICE SPRINGS,2000,4,32540,32960,65500,0,0,0,32540,32960,65500
All Australian Airports,2000,4,2479731,2479731,4959462,670585,705170,1375755,3150316,3184901,6335217
BALLINA,2000,4,2793,2783,5576,0,0,0,2793,2783,5576
BRISBANE,2000,4,334736,339660,674396,110553,100105,210658,445289,439765,885054
CAIRNS,2000,4,83733,81871,165604,25685,25901,51586,109418,107772,217190
CANBERRA,2000,4,80812,80501,161313,0,0,0,80812,80501,161313
DARWIN,2000,4,35802,34770,70572,5888,6080,11968,41690,40850,82540
GOLD COAST,2000,4,77186,82481,159667,1422,1287,2709,78608,83768,162376
HAMILTON ISLAND,2000,4,14524,14673,29197,0,0,0,14524,14673,29197
HOBART,2000,4,39126,40641,79767,0,0,0,39126,40641,79767
KARRATHA,2000,4,6595,6551,13146,0,0,0,6595,6551,13146
LAUNCESTON,2000,4,23686,25005,48691,0,0,0,23686,25005,48691
MACKAY,2000,4,11043,10982,22025,0,0,0,11043,10982,22025
MELBOURNE,2000,4,514001,513710,1027711,121332,131042,252374,635333,644752,1280085
PERTH,2000,4,148269,147877,296146,66159,66943,133102,214428,214820,429248
ROCKHAMPTON,2000,4,12790,12936,25726,0,0,0,12790,12936,25726
SUNSHINE COAST,2000,4,12227,12642,24869,0,0,0,12227,12642,24869
SYDNEY,2000,4,643153,629291,1272444,327665,360247,687912,970818,989538,1960356
TOWNSVILLE,2000,4,27213,27223,54436,0,0,0,27213,27223,54436
NEWCASTLE,2000,4,8326,8510,16836,0,0,0,8326,8510,16836
ADELAIDE,2000,5,160803,164203,325006,7765,10890,18655,168568,175093,343661
ALICE SPRINGS,2000,5,31262,32158,63420,0,0,0,31262,32158,63420
All Australian Airports,2000,5,2422777,2422777,4845554,559444,629995,1189439,2982221,3052772,6034993
BALLINA,2000,5,3291,3371,6662,0,0,0,3291,3371,6662
BRISBANE,2000,5,328586,329489,658075,96959,86004,182963,425545,415493,841038
CAIRNS,2000,5,81817,80717,162534,24323,27257,51580,106140,107974,214114
CANBERRA,2000,5,87410,87729,175139,0,0,0,87410,87729,175139
DARWIN,2000,5,40676,37764,78440,5909,6255,12164,46585,44019,90604
GOLD COAST,2000,5,67987,69974,137961,1040,812,1852,69027,70786,139813
HAMILTON ISLAND,2000,5,10891,11569,22460,0,0,0,10891,11569,22460
HOBART,2000,5,34652,37883,72535,0,0,0,34652,37883,72535
KARRATHA,2000,5,6787,6762,13549,0,0,0,6787,6762,13549
LAUNCESTON,2000,5,19419,20702,40121,0,0,0,19419,20702,40121
MACKAY,2000,5,12076,11820,23896,0,0,0,12076,11820,23896
MELBOURNE,2000,5,501060,504770,1005830,98769,119675,218444,599829,624445,1224274
PERTH,2000,5,136087,139535,275622,50973,59270,110243,187060,198805,385865
ROCKHAMPTON,2000,5,13297,13329,26626,0,0,0,13297,13329,26626
SUNSHINE COAST,2000,5,10217,10122,20339,0,0,0,10217,10122,20339
SYDNEY,2000,5,635685,621028,1256713,273093,319168,592261,908778,940196,1848974
TOWNSVILLE,2000,5,30385,29047,59432,0,0,0,30385,29047,59432
NEWCASTLE,2000,5,8751,9041,17792,0,0,0,8751,9041,17792
ADELAIDE,2000,6,161061,159602,320663,9452,9579,19031,170513,169181,339694
ALICE SPRINGS,2000,6,33107,33892,66999,0,0,0,33107,33892,66999
All Australian Airports,2000,6,2497790,2497790,4995580,590606,631280,1221886,3088396,3129070,6217466
BALLINA,2000,6,4646,4749,9395,0,0,0,4646,4749,9395
BRISBANE,2000,6,350502,349687,700189,106451,92973,199424,456953,442660,899613
CAIRNS,2000,6,93137,88277,181414,27172,25797,52969,120309,114074,234383
CANBERRA,2000,6,85590,87663,173253,0,0,0,85590,87663,173253
DARWIN,2000,6,44145,44100,88245,7096,8097,15193,51241,52197,103438
GOLD COAST,2000,6,76324,74566,150890,1616,1252,2868,77940,75818,153758
HAMILTON ISLAND,2000,6,12017,11256,23273,0,0,0,12017,11256,23273
HOBART,2000,6,36840,35271,72111,0,0,0,36840,35271,72111
KARRATHA,2000,6,7072,6947,14019,0,0,0,7072,6947,14019
LAUNCESTON,2000,6,19794,19408,39202,0,0,0,19794,19408,39202
MACKAY,2000,6,12053,11955,24008,0,0,0,12053,11955,24008
MELBOURNE,2000,6,509828,525527,1035355,102972,124957,227929,612800,650484,1263284
PERTH,2000,6,137896,139956,277852,55167,64579,119746,193063,204535,397598
ROCKHAMPTON,2000,6,13567,13303,26870,0,0,0,13567,13303,26870
SUNSHINE COAST,2000,6,11030,10270,21300,0,0,0,11030,10270,21300
SYDNEY,2000,6,644226,638600,1282826,280055,303432,583487,924281,942032,1866313
TOWNSVILLE,2000,6,31785,31528,63313,0,0,0,31785,31528,63313
NEWCASTLE,2000,6,10087,10120,20207,0,0,0,10087,10120,20207
ADELAIDE,2000,7,162464,161958,324422,13181,12116,25297,175645,174074,349719
ALICE SPRINGS,2000,7,36803,36944,73747,0,0,0,36803,36944,73747
All Australian Airports,2000,7,2535504,2535504,5071008,765264,667776,1433040,3300768,3203280,6504048
BALLINA,2000,7,4063,4063,8126,0,0,0,4063,4063,8126
BRISBANE,2000,7,364944,363148,728092,125541,99036,224577,490485,462184,952669
CAIRNS,2000,7,99629,100779,200408,32551,30177,62728,132180,130956,263136
CANBERRA,2000,7,85338,83972,169310,0,0,0,85338,83972,169310
DARWIN,2000,7,46309,47010,93319,10825,7917,18742,57134,54927,112061
GOLD COAST,2000,7,74069,73852,147921,1513,1428,2941,75582,75280,150862
HAMILTON ISLAND,2000,7,10803,11230,22033,0,0,0,10803,11230,22033
HOBART,2000,7,31831,31853,63684,0,0,0,31831,31853,63684
KARRATHA,2000,7,6812,6956,13768,0,0,0,6812,6956,13768
LAUNCESTON,2000,7,16888,17291,34179,0,0,0,16888,17291,34179
MACKAY,2000,7,12373,12561,24934,0,0,0,12373,12561,24934
MELBOURNE,2000,7,522892,504171,1027063,137987,118308,256295,660879,622479,1283358
PERTH,2000,7,137821,139379,277200,72134,59338,131472,209955,198717,408672
ROCKHAMPTON,2000,7,13761,13435,27196,0,0,0,13761,13435,27196
SUNSHINE COAST,2000,7,9854,10160,20014,0,0,0,9854,10160,20014
SYDNEY,2000,7,658341,674214,1332555,370847,338758,709605,1029188,1012972,2042160
TOWNSVILLE,2000,7,32108,31720,63828,0,0,0,32108,31720,63828
NEWCASTLE,2000,7,9762,9898,19660,0,0,0,9762,9898,19660
ADELAIDE,2000,8,166852,166670,333522,11577,11424,23001,178429,178094,356523
ALICE SPRINGS,2000,8,35803,37529,73332,0,0,0,35803,37529,73332
All Australian Airports,2000,8,2642954,2642954,5285908,653600,692941,1346541,3296554,3335895,6632449
BALLINA,2000,8,4092,4035,8127,0,0,0,4092,4035,8127
BRISBANE,2000,8,379268,387288,766556,111615,106425,218040,490883,493713,984596
CAIRNS,2000,8,102831,103926,206757,32279,35487,67766,135110,139413,274523
CANBERRA,2000,8,92094,91368,183462,0,0,0,92094,91368,183462
DARWIN,2000,8,47013,48122,95135,8668,8945,17613,55681,57067,112748
GOLD COAST,2000,8,74701,77624,152325,1552,1422,2974,76253,79046,155299
HAMILTON ISLAND,2000,8,13400,12909,26309,0,0,0,13400,12909,26309
HOBART,2000,8,34356,34346,68702,0,0,0,34356,34346,68702
KARRATHA,2000,8,6637,6797,13434,0,0,0,6637,6797,13434
LAUNCESTON,2000,8,17093,17188,34281,0,0,0,17093,17188,34281
MACKAY,2000,8,12538,13087,25625,0,0,0,12538,13087,25625
MELBOURNE,2000,8,543623,545181,1088804,117696,121887,239583,661319,667068,1328387
PERTH,2000,8,135134,136587,271721,63905,62378,126283,199039,198965,398004
ROCKHAMPTON,2000,8,13997,14550,28547,0,0,0,13997,14550,28547
SUNSHINE COAST,2000,8,10508,10487,20995,0,0,0,10508,10487,20995
SYDNEY,2000,8,705777,685351,1391128,305438,344118,649556,1011215,1029469,2040684
TOWNSVILLE,2000,8,30491,31186,61677,0,0,0,30491,31186,61677
NEWCASTLE,2000,8,10340,10590,20930,0,0,0,10340,10590,20930
ADELAIDE,2000,9,172638,180314,352952,12581,11343,23924,185219,191657,376876
ALICE SPRINGS,2000,9,31861,33028,64889,0,0,0,31861,33028,64889
All Australian Airports,2000,9,2849341,2849341,5698682,709223,683155,1392378,3558564,3532496,7091060
BALLINA,2000,9,4302,4368,8670,0,0,0,4302,4368,8670
BRISBANE,2000,9,435073,431342,866415,101463,94868,196331,536536,526210,1062746
CAIRNS,2000,9,98930,98331,197261,24942,27067,52009,123872,125398,249270
CANBERRA,2000,9,87420,90668,178088,0,0,0,87420,90668,178088
DARWIN,2000,9,41137,44505,85642,8258,7395,15653,49395,51900,101295
GOLD COAST,2000,9,80469,79768,160237,1771,1552,3323,82240,81320,163560
HAMILTON ISLAND,2000,9,14928,14806,29734,0,0,0,14928,14806,29734
HOBART,2000,9,39908,39304,79212,0,0,0,39908,39304,79212
KARRATHA,2000,9,7978,8127,16105,0,0,0,7978,8127,16105
LAUNCESTON,2000,9,22634,22741,45375,0,0,0,22634,22741,45375
MACKAY,2000,9,12354,12553,24907,0,0,0,12354,12553,24907
MELBOURNE,2000,9,587775,611198,1198973,126498,126054,252552,714273,737252,1451525
PERTH,2000,9,161041,164073,325114,65804,62096,127900,226845,226169,453014
ROCKHAMPTON,2000,9,13329,13528,26857,0,0,0,13329,13528,26857
SUNSHINE COAST,2000,9,10442,10553,20995,0,0,0,10442,10553,20995
SYDNEY,2000,9,782169,741170,1523339,367096,351997,719093,1149265,1093167,2242432
TOWNSVILLE,2000,9,31193,32573,63766,0,0,0,31193,32573,63766
NEWCASTLE,2000,9,10958,11329,22287,0,0,0,10958,11329,22287
ADELAIDE,2000,10,182398,170610,353008,13840,9895,23735,196238,180505,376743
ALICE SPRINGS,2000,10,33457,33370,66827,0,0,0,33457,33370,66827
All Australian Airports,2000,10,2823124,2823124,5646248,784022,701143,1485165,3607146,3524267,7131413
BALLINA,2000,10,4085,4097,8182,0,0,0,4085,4097,8182
BRISBANE,2000,10,433057,433357,866414,115739,97650,213389,548796,531007,1079803
CAIRNS,2000,10,100948,102358,203306,32754,29142,61896,133702,131500,265202
CANBERRA,2000,10,95516,91356,186872,0,0,0,95516,91356,186872
DARWIN,2000,10,39001,41570,80571,10237,7477,17714,49238,49047,98285
GOLD COAST,2000,10,74081,76593,150674,1525,1662,3187,75606,78255,153861
HAMILTON ISLAND,2000,10,15156,15777,30933,0,0,0,15156,15777,30933
HOBART,2000,10,40817,39399,80216,0,0,0,40817,39399,80216
KARRATHA,2000,10,7806,7846,15652,0,0,0,7806,7846,15652
LAUNCESTON,2000,10,20494,20079,40573,0,0,0,20494,20079,40573
MACKAY,2000,10,12362,12415,24777,0,0,0,12362,12415,24777
MELBOURNE,2000,10,607466,572647,1180113,145846,121279,267125,753312,693926,1447238
PERTH,2000,10,159676,157928,317604,80981,62148,143129,240657,220076,460733
ROCKHAMPTON,2000,10,13851,13573,27424,0,0,0,13851,13573,27424
SUNSHINE COAST,2000,10,10598,10566,21164,0,0,0,10598,10566,21164
SYDNEY,2000,10,721969,770102,1492071,382128,370847,752975,1104097,1140949,2245046
TOWNSVILLE,2000,10,30639,30399,61038,0,0,0,30639,30399,61038
NEWCASTLE,2000,10,11544,11661,23205,0,0,0,11544,11661,23205
ADELAIDE,2000,11,161199,159817,321016,12124,10650,22774,173323,170467,343790
ALICE SPRINGS,2000,11,29861,32170,62031,0,0,0,29861,32170,62031
All Australian Airports,2000,11,2692183,2692183,5384366,729698,730454,1460152,3421881,3422637,6844518
BALLINA,2000,11,3987,3983,7970,0,0,0,3987,3983,7970
BRISBANE,2000,11,400478,405618,806096,111875,100639,212514,512353,506257,1018610
CAIRNS,2000,11,94273,96497,190770,32630,32793,65423,126903,129290,256193
CANBERRA,2000,11,92592,93275,185867,0,0,0,92592,93275,185867
DARWIN,2000,11,33128,33936,67064,8042,7437,15479,41170,41373,82543
GOLD COAST,2000,11,66798,70537,137335,815,882,1697,67613,71419,139032
HAMILTON ISLAND,2000,11,15353,15229,30582,0,0,0,15353,15229,30582
HOBART,2000,11,37728,37632,75360,0,0,0,37728,37632,75360
KARRATHA,2000,11,6568,6724,13292,0,0,0,6568,6724,13292
LAUNCESTON,2000,11,21459,21044,42503,0,0,0,21459,21044,42503
MACKAY,2000,11,11163,11205,22368,0,0,0,11163,11205,22368
MELBOURNE,2000,11,574704,573375,1148079,137152,136928,274080,711856,710303,1422159
PERTH,2000,11,143017,144481,287498,74412,69788,144200,217429,214269,431698
ROCKHAMPTON,2000,11,10683,10842,21525,0,0,0,10683,10842,21525
SUNSHINE COAST,2000,11,10953,10743,21696,0,0,0,10953,10743,21696
SYDNEY,2000,11,740580,726262,1466842,351774,370505,722279,1092354,1096767,2189121
TOWNSVILLE,2000,11,26759,27357,54116,0,0,0,26759,27357,54116
NEWCASTLE,2000,11,11233,11198,22431,0,0,0,11233,11198,22431
ADELAIDE,2000,12,174796,170393,345189,12423,12865,25288,187219,183258,370477
ALICE SPRINGS,2000,12,24998,27142,52140,0,0,0,24998,27142,52140
All Australian Airports,2000,12,2726423,2726423,5452846,789820,839801,1629621,3516243,3566224,7082467
BALLINA,2000,12,4693,4289,8982,0,0,0,4693,4289,8982
BRISBANE,2000,12,436170,424467,860637,122274,111278,233552,558444,535745,1094189
CAIRNS,2000,12,88659,92661,181320,33287,29023,62310,121946,121684,243630
CANBERRA,2000,12,78929,84010,162939,0,0,0,78929,84010,162939
DARWIN,2000,12,29701,36482,66183,6632,7932,14564,36333,44414,80747
GOLD COAST,2000,12,79916,77296,157212,1140,1420,2560,81056,78716,159772
HAMILTON ISLAND,2000,12,15485,14198,29683,0,0,0,15485,14198,29683
HOBART,2000,12,46141,40628,86769,0,0,0,46141,40628,86769
KARRATHA,2000,12,6133,7395,13528,0,0,0,6133,7395,13528
LAUNCESTON,2000,12,25897,23879,49776,0,0,0,25897,23879,49776
MACKAY,2000,12,11748,11788,23536,0,0,0,11748,11788,23536
MELBOURNE,2000,12,561085,578245,1139330,147547,164326,311873,708632,742571,1451203
PERTH,2000,12,155845,151323,307168,80718,79320,160038,236563,230643,467206
ROCKHAMPTON,2000,12,10832,10743,21575,0,0,0,10832,10743,21575
SUNSHINE COAST,2000,12,11680,9953,21633,0,0,0,11680,9953,21633
SYDNEY,2000,12,735015,726986,1462001,385093,432953,818046,1120108,1159939,2280047
TOWNSVILLE,2000,12,27143,29954,57097,0,0,0,27143,29954,57097
NEWCASTLE,2000,12,10262,10251,20513,0,0,0,10262,10251,20513
ADELAIDE,2001,1,178842,182742,361584,12908,11239,24147,191750,193981,385731
ALICE SPRINGS,2001,1,25811,25331,51142,0,0,0,25811,25331,51142
All Australian Airports,2001,1,2847491,2847491,5694982,855773,798087,1653860,3703264,3645578,7348842
BALLINA,2001,1,4218,4667,8885,0,0,0,4218,4667,8885
BRISBANE,2001,1,450298,469967,920265,125932,108112,234044,576230,578079,1154309
CAIRNS,2001,1,86942,93079,180021,29986,29195,59181,116928,122274,239202
CANBERRA,2001,1,71684,68413,140097,0,0,0,71684,68413,140097
DARWIN,2001,1,37668,33221,70889,7579,6309,13888,45247,39530,84777
GOLD COAST,2001,1,89274,95226,184500,1916,1456,3372,91190,96682,187872
HAMILTON ISLAND,2001,1,14728,16802,31530,0,0,0,14728,16802,31530
HOBART,2001,1,45975,49663,95638,0,0,0,45975,49663,95638
KARRATHA,2001,1,7163,6252,13415,0,0,0,7163,6252,13415
LAUNCESTON,2001,1,29130,31260,60390,0,0,0,29130,31260,60390
MACKAY,2001,1,11983,12423,24406,0,0,0,11983,12423,24406
MELBOURNE,2001,1,617640,592833,1210473,169109,152493,321602,786749,745326,1532075
PERTH,2001,1,158224,168586,326810,78222,75406,153628,236446,243992,480438
ROCKHAMPTON,2001,1,10484,10525,21009,0,0,0,10484,10525,21009
SUNSHINE COAST,2001,1,12604,14004,26608,0,0,0,12604,14004,26608
SYDNEY,2001,1,772825,753460,1526285,429519,413148,842667,1202344,1166608,2368952
TOWNSVILLE,2001,1,29397,26795,56192,0,0,0,29397,26795,56192
NEWCASTLE,2001,1,9970,10054,20024,0,0,0,9970,10054,20024
ADELAIDE,2001,2,153902,151966,305868,10674,8310,18984,164576,160276,324852
ALICE SPRINGS,2001,2,22255,22403,44658,0,0,0,22255,22403,44658
All Australian Airports,2001,2,2352787,2352787,4705574,703576,615353,1318929,3056363,2968140,6024503
BALLINA,2001,2,3527,3604,7131,0,0,0,3527,3604,7131
BRISBANE,2001,2,338280,345150,683430,100127,81302,181429,438407,426452,864859
CAIRNS,2001,2,66792,68751,135543,26454,24322,50776,93246,93073,186319
CANBERRA,2001,2,81722,79821,161543,0,0,0,81722,79821,161543
DARWIN,2001,2,26328,26069,52397,5208,4100,9308,31536,30169,61705
GOLD COAST,2001,2,63719,69937,133656,925,1358,2283,64644,71295,135939
HAMILTON ISLAND,2001,2,10135,10461,20596,0,0,0,10135,10461,20596
HOBART,2001,2,40415,39585,80000,0,0,0,40415,39585,80000
KARRATHA,2001,2,6150,5884,12034,0,0,0,6150,5884,12034
LAUNCESTON,2001,2,23200,21859,45059,0,0,0,23200,21859,45059
MACKAY,2001,2,9758,9859,19617,0,0,0,9758,9859,19617
MELBOURNE,2001,2,517762,511939,1029701,145578,118058,263636,663340,629997,1293337
PERTH,2001,2,129141,131577,260718,66945,51049,117994,196086,182626,378712
ROCKHAMPTON,2001,2,9488,9373,18861,0,0,0,9488,9373,18861
SUNSHINE COAST,2001,2,8815,9170,17985,0,0,0,8815,9170,17985
SYDNEY,2001,2,644418,638229,1282647,347071,326321,673392,991489,964550,1956039
TOWNSVILLE,2001,2,23123,22948,46071,0,0,0,23123,22948,46071
NEWCASTLE,2001,2,8313,8402,16715,0,0,0,8313,8402,16715
ADELAIDE,2001,3,184779,186217,370996,9991,10080,20071,194770,196297,391067
ALICE SPRINGS,2001,3,27959,28140,56099,0,0,0,27959,28140,56099
All Australian Airports,2001,3,2782038,2782038,5564076,688265,723252,1411517,3470303,3505290,6975593
BALLINA,2001,3,3631,3696,7327,0,0,0,3631,3696,7327
BRISBANE,2001,3,412365,411150,823515,106653,93629,200282,519018,504779,1023797
CAIRNS,2001,3,83956,82159,166115,29354,29556,58910,113310,111715,225025
CANBERRA,2001,3,94958,97595,192553,0,0,0,94958,97595,192553
DARWIN,2001,3,31618,31164,62782,5582,5356,10938,37200,36520,73720
GOLD COAST,2001,3,83185,83592,166777,1250,1028,2278,84435,84620,169055
HAMILTON ISLAND,2001,3,12771,12629,25400,0,0,0,12771,12629,25400
HOBART,2001,3,43403,44502,87905,0,0,0,43403,44502,87905
KARRATHA,2001,3,6840,7019,13859,0,0,0,6840,7019,13859
LAUNCESTON,2001,3,24503,26073,50576,0,0,0,24503,26073,50576
MACKAY,2001,3,11108,11511,22619,0,0,0,11108,11511,22619
MELBOURNE,2001,3,592581,600184,1192765,135343,146093,281436,727924,746277,1474201
PERTH,2001,3,151402,150394,301796,66823,67993,134816,218225,218387,436612
ROCKHAMPTON,2001,3,11138,11270,22408,0,0,0,11138,11270,22408
SUNSHINE COAST,2001,3,9956,9831,19787,0,0,0,9956,9831,19787
SYDNEY,2001,3,764867,750913,1515780,332452,368819,701271,1097319,1119732,2217051
TOWNSVILLE,2001,3,29143,29436,58579,0,0,0,29143,29436,58579
NEWCASTLE,2001,3,9963,10301,20264,0,0,0,9963,10301,20264
ADELAIDE,2001,4,188110,192650,380760,9402,10934,20336,197512,203584,401096
ALICE SPRINGS,2001,4,28372,28750,57122,0,0,0,28372,28750,57122
All Australian Airports,2001,4,2842533,2842533,5685066,695693,729635,1425328,3538226,3572168,7110394
