AIRPORT,Year,Month,Domestic_In,Domestic_Out,Domestic_Total,International_In,International_Out,International_Total,Pax_In,Pax_Out,Pax_Total
NEWCASTLE,2014,4,47587,47954,95541,0,0,0,47587,47954,95541
PERTH,2014,4,381317,385947,767264,174325,184451,358776,555642,570398,1126040
PROSERPINE,2014,4,11099,11015,22114,0,0,0,11099,11015,22114
ROCKHAMPTON,2014,4,27499,27452,54951,0,0,0,27499,27452,54951
SUNSHINE COAST,2014,4,38492,37941,76433,0,0,0,38492,37941,76433
SYDNEY,2014,4,1054858,1046448,2101306,526287,566949,1093236,1581145,1613397,3194542
TOWNSVILLE,2014,4,60736,61524,122260,0,0,0,60736,61524,122260
ADELAIDE,2014,5,266981,269417,536398,34798,39547,74345,301779,308964,610743
ALICE SPRINGS,2014,5,25918,25923,51841,0,0,0,25918,25923,51841
All Australian Airports,2014,5,4528746,4528746,9057492,1186430,1262179,2448609,5715176,5790925,11506101
BALLINA,2014,5,13210,13552,26762,0,0,0,13210,13552,26762
BRISBANE,2014,5,690348,686761,1377109,181007,186442,367449,871355,873203,1744558
CAIRNS,2014,5,140494,140629,281123,13715,15252,28967,154209,155881,310090
CANBERRA,2014,5,120764,123275,244039,0,0,0,120764,123275,244039
DARWIN,2014,5,72728,71476,144204,11129,12017,23146,83857,83493,167350
GOLD COAST,2014,5,176988,177180,354168,31216,29173,60389,208204,206353,414557
HOBART,2014,5,76390,76964,153354,0,0,0,76390,76964,153354
KARRATHA,2014,5,30029,31630,61659,0,0,0,30029,31630,61659
LAUNCESTON,2014,5,47347,48323,95670,0,0,0,47347,48323,95670
MACKAY,2014,5,39723,40390,80113,0,0,0,39723,40390,80113
MELBOURNE,2014,5,919075,914120,1833195,288008,311686,599694,1207083,1225806,2432889
NEWCASTLE,2014,5,46954,47987,94941,0,0,0,46954,47987,94941
PERTH,2014,5,350939,355327,706266,142723,158400,301123,493662,513727,1007389
PROSERPINE,2014,5,10032,10275,20307,0,0,0,10032,10275,20307
ROCKHAMPTON,2014,5,27343,28383,55726,0,0,0,27343,28383,55726
SUNSHINE COAST,2014,5,30745,31349,62094,0,0,0,30745,31349,62094
SYDNEY,2014,5,1017429,1001898,2019327,483268,509089,992357,1500697,1510987,3011684
TOWNSVILLE,2014,5,62178,61671,123849,0,0,0,62178,61671,123849
ADELAIDE,2014,6,260567,255415,515982,35861,44801,80662,296428,300216,596644
ALICE SPRINGS,2014,6,27860,28396,56256,0,0,0,27860,28396,56256
All Australian Airports,2014,6,4447073,4447073,8894146,1174912,1410529,2585441,5621985,5857602,11479587
BALLINA,2014,6,14762,14552,29314,0,0,0,14762,14552,29314
BRISBANE,2014,6,677315,684118,1361433,185947,207236,393183,863262,891354,1754616
CAIRNS,2014,6,157186,146090,303276,15273,16675,31948,172459,162765,335224
CANBERRA,2014,6,118607,117421,236028,0,0,0,118607,117421,236028
DARWIN,2014,6,88911,82665,171576,12073,15491,27564,100984,98156,199140
GOLD COAST,2014,6,176731,174501,351232,31391,34036,65427,208122,208537,416659
HOBART,2014,6,75294,75202,150496,0,0,0,75294,75202,150496
KARRATHA,2014,6,28853,28240,57093,0,0,0,28853,28240,57093
LAUNCESTON,2014,6,47550,46394,93944,0,0,0,47550,46394,93944
MACKAY,2014,6,38830,38088,76918,0,0,0,38830,38088,76918
MELBOURNE,2014,6,883595,924070,1807665,283842,355095,638937,1167437,1279165,2446602
NEWCASTLE,2014,6,45169,45097,90266,0,0,0,45169,45097,90266
PERTH,2014,6,342876,330153,673029,145966,170833,316799,488842,500986,989828
PROSERPINE,2014,6,10204,9879,20083,0,0,0,10204,9879,20083
ROCKHAMPTON,2014,6,27393,27278,54671,0,0,0,27393,27278,54671
SUNSHINE COAST,2014,6,32016,30493,62509,278,183,461,32294,30676,62970
SYDNEY,2014,6,972837,972810,1945647,463814,565678,1029492,1436651,1538488,2975139
TOWNSVILLE,2014,6,64444,64334,128778,0,0,0,64444,64334,128778
ADELAIDE,2014,7,284112,289631,573743,51507,44103,95610,335619,333734,669353
ALICE SPRINGS,2014,7,30549,31214,61763,0,0,0,30549,31214,61763
All Australian Airports,2014,7,4998291,4998291,9996582,1599897,1357325,2957222,6598188,6355616,12953804
BALLINA,2014,7,17839,18283,36122,0,0,0,17839,18283,36122
BRISBANE,2014,7,767925,756240,1524165,247977,207772,455749,1015902,964012,1979914
CAIRNS,2014,7,190882,193790,384672,23638,18074,41712,214520,211864,426384
CANBERRA,2014,7,122917,121468,244385,0,0,0,122917,121468,244385
DARWIN,2014,7,93330,95765,189095,16732,14403,31135,110062,110168,220230
GOLD COAST,2014,7,213989,214951,428940,41936,35206,77142,255925,250157,506082
HOBART,2014,7,82618,85222,167840,0,0,0,82618,85222,167840
KARRATHA,2014,7,31443,31190,62633,0,0,0,31443,31190,62633
LAUNCESTON,2014,7,47391,49829,97220,0,0,0,47391,49829,97220
MACKAY,2014,7,44033,44582,88615,0,0,0,44033,44582,88615
MELBOURNE,2014,7,1022903,993072,2015975,396854,328613,725467,1419757,1321685,2741442
NEWCASTLE,2014,7,50510,51019,101529,0,0,0,50510,51019,101529
PERTH,2014,7,377458,391848,769306,205965,178812,384777,583423,570660,1154083
PROSERPINE,2014,7,11761,12275,24036,0,0,0,11761,12275,24036
ROCKHAMPTON,2014,7,29036,29421,58457,0,0,0,29036,29421,58457
SUNSHINE COAST,2014,7,36813,37428,74241,1508,1203,2711,38321,38631,76952
SYDNEY,2014,7,1088070,1090076,2178146,613345,528745,1142090,1701415,1618821,3320236
TOWNSVILLE,2014,7,72058,70381,142439,0,0,0,72058,70381,142439
ADELAIDE,2014,8,280822,280400,561222,41013,39796,80809,321835,320196,642031
ALICE SPRINGS,2014,8,27251,28508,55759,0,0,0,27251,28508,55759
All Australian Airports,2014,8,4796038,4796038,9592076,1341299,1402976,2744275,6137337,6199014,12336351
BALLINA,2014,8,14707,15200,29907,0,0,0,14707,15200,29907
BRISBANE,2014,8,724926,719873,1444799,213173,223083,436256,938099,942956,1881055
CAIRNS,2014,8,176583,183251,359834,23182,26286,49468,199765,209537,409302
CANBERRA,2014,8,120988,120574,241562,0,0,0,120988,120574,241562
DARWIN,2014,8,86121,90170,176291,14429,15917,30346,100550,106087,206637
GOLD COAST,2014,8,199892,203361,403253,35563,37014,72577,235455,240375,475830
HOBART,2014,8,78837,79802,158639,0,0,0,78837,79802,158639
KARRATHA,2014,8,29933,30828,60761,0,0,0,29933,30828,60761
LAUNCESTON,2014,8,44931,45508,90439,0,0,0,44931,45508,90439
MACKAY,2014,8,40144,40707,80851,0,0,0,40144,40707,80851
MELBOURNE,2014,8,979763,975378,1955141,323724,340678,664402,1303487,1316056,2619543
NEWCASTLE,2014,8,48803,48481,97284,0,0,0,48803,48481,97284
PERTH,2014,8,361356,358479,719835,163905,166519,330424,525261,524998,1050259
PROSERPINE,2014,8,11678,11905,23583,0,0,0,11678,11905,23583
ROCKHAMPTON,2014,8,27277,28234,55511,0,0,0,27277,28234,55511
SUNSHINE COAST,2014,8,32624,32124,64748,1373,1191,2564,33997,33315,67312
SYDNEY,2014,8,1072351,1056340,2128691,524448,551983,1076431,1596799,1608323,3205122
TOWNSVILLE,2014,8,65323,66678,132001,0,0,0,65323,66678,132001
ADELAIDE,2014,9,276540,280913,557453,39785,40956,80741,316325,321869,638194
ALICE SPRINGS,2014,9,25548,25287,50835,0,0,0,25548,25287,50835
All Australian Airports,2014,9,4805093,4805093,9610186,1377010,1404018,2781028,6182103,6209111,12391214
BALLINA,2014,9,19834,19049,38883,0,0,0,19834,19049,38883
BRISBANE,2014,9,723998,723032,1447030,216209,214891,431100,940207,937923,1878130
CAIRNS,2014,9,176654,165752,342406,19242,22088,41330,195896,187840,383736
CANBERRA,2014,9,121363,121743,243106,0,0,0,121363,121743,243106
DARWIN,2014,9,78326,79759,158085,13861,13879,27740,92187,93638,185825
GOLD COAST,2014,9,219163,209110,428273,33293,35862,69155,252456,244972,497428
HOBART,2014,9,81768,78408,160176,0,0,0,81768,78408,160176
KARRATHA,2014,9,29929,30501,60430,0,0,0,29929,30501,60430
LAUNCESTON,2014,9,48691,46829,95520,0,0,0,48691,46829,95520
MACKAY,2014,9,41426,40415,81841,0,0,0,41426,40415,81841
MELBOURNE,2014,9,966478,975178,1941656,337512,339350,676862,1303990,1314528,2618518
NEWCASTLE,2014,9,49730,50530,100260,0,0,0,49730,50530,100260
PERTH,2014,9,362782,366423,729205,179961,181406,361367,542743,547829,1090572
PROSERPINE,2014,9,12473,11757,24230,0,0,0,12473,11757,24230
ROCKHAMPTON,2014,9,29157,28751,57908,0,0,0,29157,28751,57908
SUNSHINE COAST,2014,9,38614,37179,75793,1234,1210,2444,39848,38389,78237
SYDNEY,2014,9,1057089,1070473,2127562,535529,554031,1089560,1592618,1624504,3217122
TOWNSVILLE,2014,9,65984,68438,134422,0,0,0,65984,68438,134422
ADELAIDE,2014,10,319150,311531,630681,44279,35206,79485,363429,346737,710166
ALICE SPRINGS,2014,10,26458,27497,53955,0,0,0,26458,27497,53955
All Australian Airports,2014,10,5238762,5238762,10477524,1556897,1297662,2854559,6795659,6536424,13332083
BALLINA,2014,10,19283,19973,39256,0,0,0,19283,19973,39256
BRISBANE,2014,10,776924,780848,1557772,234133,204479,438612,1011057,985327,1996384
CAIRNS,2014,10,175380,184351,359731,21715,18589,40304,197095,202940,400035
CANBERRA,2014,10,131857,128821,260678,0,0,0,131857,128821,260678
DARWIN,2014,10,76835,81466,158301,14688,12566,27254,91523,94032,185555
GOLD COAST,2014,10,235350,240190,475540,38397,34072,72469,273747,274262,548009
HOBART,2014,10,95303,91155,186458,0,0,0,95303,91155,186458
KARRATHA,2014,10,32016,32760,64776,0,0,0,32016,32760,64776
LAUNCESTON,2014,10,55493,54135,109628,0,0,0,55493,54135,109628
MACKAY,2014,10,43221,44844,88065,0,0,0,43221,44844,88065
MELBOURNE,2014,10,1084809,1063726,2148535,381908,312662,694570,1466717,1376388,2843105
NEWCASTLE,2014,10,53687,53479,107166,0,0,0,53687,53479,107166
PERTH,2014,10,398992,401561,800553,204204,158932,363136,603196,560493,1163689
PROSERPINE,2014,10,12509,13521,26030,0,0,0,12509,13521,26030
ROCKHAMPTON,2014,10,29349,29603,58952,0,0,0,29349,29603,58952
SUNSHINE COAST,2014,10,39738,40931,80669,1022,1046,2068,40760,41977,82737
SYDNEY,2014,10,1174641,1172420,2347061,616131,519670,1135801,1790772,1692090,3482862
TOWNSVILLE,2014,10,68153,67986,136139,0,0,0,68153,67986,136139
ADELAIDE,2014,11,279539,279238,558777,33966,35010,68976,313505,314248,627753
ALICE SPRINGS,2014,11,22871,23328,46199,0,0,0,22871,23328,46199
All Australian Airports,2014,11,4767191,4767191,9534382,1322483,1346054,2668537,6089674,6113245,12202919
BALLINA,2014,11,18158,18119,36277,0,0,0,18158,18119,36277
BRISBANE,2014,11,693076,696103,1389179,197992,207211,405203,891068,903314,1794382
CAIRNS,2014,11,154640,159052,313692,16906,17259,34165,171546,176311,347857
CANBERRA,2014,11,122435,120113,242548,0,0,0,122435,120113,242548
DARWIN,2014,11,64785,67457,132242,10563,11258,21821,75348,78715,154063
GOLD COAST,2014,11,205695,206609,412304,33719,35565,69284,239414,242174,481588
HOBART,2014,11,94398,94140,188538,0,0,0,94398,94140,188538
KARRATHA,2014,11,28528,28860,57388,0,0,0,28528,28860,57388
LAUNCESTON,2014,11,56824,54527,111351,0,0,0,56824,54527,111351
MACKAY,2014,11,37800,38193,75993,0,0,0,37800,38193,75993
MELBOURNE,2014,11,1001601,994496,1996097,328293,335780,664073,1329894,1330276,2660170
NEWCASTLE,2014,11,48507,48757,97264,0,0,0,48507,48757,97264
PERTH,2014,11,356660,355399,712059,158386,156950,315336,515046,512349,1027395
PROSERPINE,2014,11,11784,12206,23990,0,0,0,11784,12206,23990
ROCKHAMPTON,2014,11,25794,26723,52517,0,0,0,25794,26723,52517
SUNSHINE COAST,2014,11,35622,36709,72331,0,0,0,35622,36709,72331
SYDNEY,2014,11,1088111,1083123,2171234,542097,546503,1088600,1630208,1629626,3259834
TOWNSVILLE,2014,11,57638,59537,117175,0,0,0,57638,59537,117175
ADELAIDE,2014,12,295383,291644,587027,38989,49220,88209,334372,340864,675236
ALICE SPRINGS,2014,12,18924,21670,40594,0,0,0,18924,21670,40594
All Australian Airports,2014,12,4885749,4885749,9771498,1449684,1710071,3159755,6335433,6595820,12931253
BALLINA,2014,12,20079,19225,39304,0,0,0,20079,19225,39304
BRISBANE,2014,12,739816,721575,1461391,221355,251966,473321,961171,973541,1934712
CAIRNS,2014,12,171023,161710,332733,19374,21343,40717,190397,183053,373450
CANBERRA,2014,12,108108,115048,223156,0,0,0,108108,115048,223156
DARWIN,2014,12,61111,76078,137189,8816,15964,24780,69927,92042,161969
GOLD COAST,2014,12,233645,224884,458529,38278,45981,84259,271923,270865,542788
HOBART,2014,12,112735,98843,211578,0,0,0,112735,98843,211578
KARRATHA,2014,12,22578,29886,52464,0,0,0,22578,29886,52464
LAUNCESTON,2014,12,67721,59688,127409,0,0,0,67721,59688,127409
MACKAY,2014,12,39817,41898,81715,0,0,0,39817,41898,81715
MELBOURNE,2014,12,994717,1020431,2015148,355406,417081,772487,1350123,1437512,2787635
NEWCASTLE,2014,12,48887,46957,95844,0,0,0,48887,46957,95844
PERTH,2014,12,369737,370319,740056,173480,221950,395430,543217,592269,1135486
PROSERPINE,2014,12,12741,12305,25046,0,0,0,12741,12305,25046
ROCKHAMPTON,2014,12,25108,25809,50917,0,0,0,25108,25809,50917
SUNSHINE COAST,2014,12,37877,36038,73915,0,0,0,37877,36038,73915
SYDNEY,2014,12,1100833,1088258,2189091,593553,686169,1279722,1694386,1774427,3468813
TOWNSVILLE,2014,12,64541,67547,132088,0,0,0,64541,67547,132088
ADELAIDE,2015,1,271005,273323,544328,50816,40325,91141,321821,313648,635469
ALICE SPRINGS,2015,1,20600,18679,39279,0,0,0,20600,18679,39279
All Australian Airports,2015,1,4630762,4630762,9261524,1784287,1498628,3282915,6415049,6129390,12544439
BALLINA,2015,1,21764,23672,45436,0,0,0,21764,23672,45436
BRISBANE,2015,1,649819,670411,1320230,259107,217528,476635,908926,887939,1796865
CAIRNS,2015,1,152476,165203,317679,22204,20752,42956,174680,185955,360635
CANBERRA,2015,1,94689,86462,181151,0,0,0,94689,86462,181151
DARWIN,2015,1,68315,56062,124377,15839,9890,25729,84154,65952,150106
GOLD COAST,2015,1,228760,247455,476215,47430,40477,87907,276190,287932,564122
HOBART,2015,1,105456,120299,225755,0,0,0,105456,120299,225755
KARRATHA,2015,1,27371,21795,49166,0,0,0,27371,21795,49166
LAUNCESTON,2015,1,61786,69331,131117,0,0,0,61786,69331,131117
MACKAY,2015,1,36231,34321,70552,0,0,0,36231,34321,70552
MELBOURNE,2015,1,1004854,948075,1952929,438126,370081,808207,1442980,1318156,2761136
NEWCASTLE,2015,1,45820,47358,93178,0,0,0,45820,47358,93178
PERTH,2015,1,351624,358420,710044,238626,184382,423008,590250,542802,1133052
PROSERPINE,2015,1,11693,13093,24786,0,0,0,11693,13093,24786
ROCKHAMPTON,2015,1,23029,21618,44647,0,0,0,23029,21618,44647
SUNSHINE COAST,2015,1,37890,42048,79938,0,0,0,37890,42048,79938
SYDNEY,2015,1,1039522,1046901,2086423,711721,614666,1326387,1751243,1661567,3412810
TOWNSVILLE,2015,1,57879,54030,111909,0,0,0,57879,54030,111909
ADELAIDE,2015,2,255345,248620,503965,38274,30765,69039,293619,279385,573004
ALICE SPRINGS,2015,2,19528,19797,39325,0,0,0,19528,19797,39325
All Australian Airports,2015,2,4183063,4183063,8366126,1410790,1240775,2651565,5593853,5423838,11017691
BALLINA,2015,2,15486,15959,31445,0,0,0,15486,15959,31445
BRISBANE,2015,2,594295,594204,1188499,204702,186053,390755,798997,780257,1579254
CAIRNS,2015,2,140012,144177,284189,24375,20661,45036,164387,164838,329225
CANBERRA,2015,2,104237,100964,205201,0,0,0,104237,100964,205201
DARWIN,2015,2,50746,51776,102522,10012,8779,18791,60758,60555,121313
GOLD COAST,2015,2,176481,180128,356609,35098,32950,68048,211579,213078,424657
HOBART,2015,2,94081,91925,186006,0,0,0,94081,91925,186006
KARRATHA,2015,2,23907,24807,48714,0,0,0,23907,24807,48714
LAUNCESTON,2015,2,53435,51643,105078,0,0,0,53435,51643,105078
MACKAY,2015,2,30254,31593,61847,0,0,0,30254,31593,61847
MELBOURNE,2015,2,900984,891650,1792634,365109,313219,678328,1266093,1204869,2470962
NEWCASTLE,2015,2,39828,40397,80225,0,0,0,39828,40397,80225
PERTH,2015,2,302620,312158,614778,169685,144653,314338,472305,456811,929116
PROSERPINE,2015,2,10227,10566,20793,0,0,0,10227,10566,20793
ROCKHAMPTON,2015,2,19713,19899,39612,0,0,0,19713,19899,39612
SUNSHINE COAST,2015,2,26196,25986,52182,0,0,0,26196,25986,52182
SYDNEY,2015,2,973110,970584,1943694,563101,503262,1066363,1536211,1473846,3010057
TOWNSVILLE,2015,2,48886,49553,98439,0,0,0,48886,49553,98439
ADELAIDE,2015,3,291956,293217,585173,34114,36696,70810,326070,329913,655983
ALICE SPRINGS,2015,3,24043,22847,46890,0,0,0,24043,22847,46890
All Australian Airports,2015,3,4792040,4792040,9584080,1370140,1432073,2802213,6162180,6224113,12386293
BALLINA,2015,3,18102,17984,36086,0,0,0,18102,17984,36086
BRISBANE,2015,3,697493,691926,1389419,205557,209665,415222,903050,901591,1804641
CAIRNS,2015,3,142490,140180,282670,19341,21334,40675,161831,161514,323345
CANBERRA,2015,3,126132,125655,251787,0,0,0,126132,125655,251787
DARWIN,2015,3,63857,62139,125996,9928,10166,20094,73785,72305,146090
GOLD COAST,2015,3,201680,198263,399943,37413,35449,72862,239093,233712,472805
HOBART,2015,3,97209,101984,199193,0,0,0,97209,101984,199193
KARRATHA,2015,3,25836,25992,51828,0,0,0,25836,25992,51828
LAUNCESTON,2015,3,57484,59583,117067,0,0,0,57484,59583,117067
MACKAY,2015,3,38476,36956,75432,0,0,0,38476,36956,75432
MELBOURNE,2015,3,1005878,1039069,2044947,345323,371197,716520,1351201,1410266,2761467
NEWCASTLE,2015,3,46998,46902,93900,0,0,0,46998,46902,93900
PERTH,2015,3,359400,351127,710527,160418,167454,327872,519818,518581,1038399
PROSERPINE,2015,3,10755,10474,21229,0,0,0,10755,10474,21229
ROCKHAMPTON,2015,3,27755,27804,55559,0,0,0,27755,27804,55559
SUNSHINE COAST,2015,3,32867,31577,64444,0,0,0,32867,31577,64444
SYDNEY,2015,3,1105157,1095693,2200850,557245,579473,1136718,1662402,1675166,3337568
TOWNSVILLE,2015,3,59989,58009,117998,0,0,0,59989,58009,117998
ADELAIDE,2015,4,291914,294232,586146,33223,37246,70469,325137,331478,656615
ALICE SPRINGS,2015,4,24926,25494,50420,0,0,0,24926,25494,50420
All Australian Airports,2015,4,4722433,4722433,9444866,1361635,1384880,2746515,6084068,6107313,12191381
BALLINA,2015,4,19599,20173,39772,0,0,0,19599,20173,39772
BRISBANE,2015,4,691971,694729,1386700,205882,212965,418847,897853,907694,1805547
CAIRNS,2015,4,155106,159990,315096,18491,19824,38315,173597,179814,353411
CANBERRA,2015,4,114563,117067,231630,0,0,0,114563,117067,231630
DARWIN,2015,4,73551,70521,144072,10371,9647,20018,83922,80168,164090
GOLD COAST,2015,4,204814,211335,416149,37202,34068,71270,242016,245403,487419
HOBART,2015,4,89654,94013,183667,0,0,0,89654,94013,183667
KARRATHA,2015,4,26116,26467,52583,0,0,0,26116,26467,52583
LAUNCESTON,2015,4,52216,55380,107596,0,0,0,52216,55380,107596
MACKAY,2015,4,38188,38030,76218,0,0,0,38188,38030,76218
MELBOURNE,2015,4,996733,964471,1961204,340239,344512,684751,1336972,1308983,2645955
NEWCASTLE,2015,4,46382,46468,92850,0,0,0,46382,46468,92850
PERTH,2015,4,363209,360074,723283,168302,173956,342258,531511,534030,1065541
PROSERPINE,2015,4,12229,12530,24759,0,0,0,12229,12530,24759
ROCKHAMPTON,2015,4,26068,26228,52296,0,0,0,26068,26228,52296
SUNSHINE COAST,2015,4,36413,38432,74845,0,0,0,36413,38432,74845
SYDNEY,2015,4,1056659,1058151,2114810,547174,551891,1099065,1603833,1610042,3213875
TOWNSVILLE,2015,4,61695,62149,123844,0,0,0,61695,62149,123844
ADELAIDE,2015,5,270553,272195,542748,31243,36424,67667,301796,308619,610415
ALICE SPRINGS,2015,5,23425,23866,47291,0,0,0,23425,23866,47291
All Australian Airports,2015,5,4501749,4501749,9003498,1218186,1309275,2527461,5719935,5811024,11530959
BALLINA,2015,5,15937,16216,32153,0,0,0,15937,16216,32153
BRISBANE,2015,5,668512,665042,1333554,189075,198431,387506,857587,863473,1721060
CAIRNS,2015,5,145872,144667,290539,17628,19137,36765,163500,163804,327304
CANBERRA,2015,5,120603,121584,242187,0,0,0,120603,121584,242187
DARWIN,2015,5,74875,72519,147394,10489,10953,21442,85364,83472,168836
GOLD COAST,2015,5,182778,184034,366812,34086,31677,65763,216864,215711,432575
HOBART,2015,5,79587,82903,162490,0,0,0,79587,82903,162490
KARRATHA,2015,5,25042,25160,50202,0,0,0,25042,25160,50202
LAUNCESTON,2015,5,46677,48225,94902,0,0,0,46677,48225,94902
MACKAY,2015,5,37417,37180,74597,0,0,0,37417,37180,74597
MELBOURNE,2015,5,936622,936219,1872841,302738,334198,636936,1239360,1270417,2509777
NEWCASTLE,2015,5,46585,46832,93417,0,0,0,46585,46832,93417
PERTH,2015,5,331242,334104,665346,143271,158138,301409,474513,492242,966755
PROSERPINE,2015,5,10253,10481,20734,0,0,0,10253,10481,20734
ROCKHAMPTON,2015,5,27726,28056,55782,0,0,0,27726,28056,55782
SUNSHINE COAST,2015,5,29833,30090,59923,0,0,0,29833,30090,59923
SYDNEY,2015,5,1029545,1017224,2046769,488608,519255,1007863,1518153,1536479,3054632
TOWNSVILLE,2015,5,62664,61362,124026,0,0,0,62664,61362,124026
ADELAIDE,2015,6,252967,252494,505461,32695,37826,70521,285662,290320,575982
ALICE SPRINGS,2015,6,24940,25491,50431,0,0,0,24940,25491,50431
All Australian Airports,2015,6,4432717,4432717,8865434,1232005,1456587,2688592,5664722,5889304,11554026
BALLINA,2015,6,16250,16135,32385,0,0,0,16250,16135,32385
BRISBANE,2015,6,665708,666152,1331860,194338,219792,414130,860046,885944,1745990
CAIRNS,2015,6,166490,152862,319352,17394,19542,36936,183884,172404,356288
CANBERRA,2015,6,118741,118659,237400,0,0,0,118741,118659,237400
DARWIN,2015,6,87804,81791,169595,10295,12773,23068,98099,94564,192663
GOLD COAST,2015,6,186821,179078,365899,32051,36170,68221,218872,215248,434120
HOBART,2015,6,78217,77801,156018,0,0,0,78217,77801,156018
KARRATHA,2015,6,24647,25348,49995,0,0,0,24647,25348,49995
LAUNCESTON,2015,6,42671,42200,84871,0,0,0,42671,42200,84871
MACKAY,2015,6,36464,36164,72628,0,0,0,36464,36164,72628
MELBOURNE,2015,6,892847,934705,1827552,308765,379573,688338,1201612,1314278,2515890
NEWCASTLE,2015,6,45252,45669,90921,0,0,0,45252,45669,90921
PERTH,2015,6,334331,315818,650149,147906,177716,325622,482237,493534,975771
PROSERPINE,2015,6,11392,10240,21632,0,0,0,11392,10240,21632
ROCKHAMPTON,2015,6,26538,26217,52755,0,0,0,26538,26217,52755
SUNSHINE COAST,2015,6,33566,31083,64649,277,164,441,33843,31247,65090
SYDNEY,2015,6,983350,995667,1979017,487652,572404,1060056,1471002,1568071,3039073
TOWNSVILLE,2015,6,63967,63610,127577,0,0,0,63967,63610,127577
ADELAIDE,2015,7,296045,302047,598092,40295,36893,77188,336340,338940,675280
ALICE SPRINGS,2015,7,29930,31118,61048,0,0,0,29930,31118,61048
All Australian Airports,2015,7,5113160,5113160,10226320,1649910,1439511,3089421,6763070,6552671,13315741
BALLINA,2015,7,18513,19000,37513,0,0,0,18513,19000,37513
BRISBANE,2015,7,772477,755862,1528339,246477,216603,463080,1018954,972465,1991419
CAIRNS,2015,7,192616,197402,390018,28199,23289,51488,220815,220691,441506
CANBERRA,2015,7,123396,123872,247268,0,0,0,123396,123872,247268
DARWIN,2015,7,96148,99457,195605,14992,12248,27240,111140,111705,222845
GOLD COAST,2015,7,223508,227796,451304,49303,40515,89818,272811,268311,541122
HOBART,2015,7,84845,88470,173315,0,0,0,84845,88470,173315
KARRATHA,2015,7,27639,27574,55213,0,0,0,27639,27574,55213
LAUNCESTON,2015,7,49223,51910,101133,0,0,0,49223,51910,101133
MACKAY,2015,7,39916,40450,80366,0,0,0,39916,40450,80366
MELBOURNE,2015,7,1088788,1042230,2131018,420433,358670,779103,1509221,1400900,2910121
NEWCASTLE,2015,7,51791,52088,103879,0,0,0,51791,52088,103879
PERTH,2015,7,373233,391420,764653,204453,182039,386492,577686,573459,1151145
PROSERPINE,2015,7,15081,15626,30707,0,0,0,15081,15626,30707
ROCKHAMPTON,2015,7,27714,28588,56302,0,0,0,27714,28588,56302
SUNSHINE COAST,2015,7,39430,40072,79502,1771,1381,3152,41201,41453,82654
SYDNEY,2015,7,1134247,1139638,2273885,643544,567433,1210977,1777791,1707071,3484862
TOWNSVILLE,2015,7,73303,71720,145023,0,0,0,73303,71720,145023
ADELAIDE,2015,8,282798,277223,560021,35798,34901,70699,318596,312124,630720
ALICE SPRINGS,2015,8,28312,29387,57699,0,0,0,28312,29387,57699
All Australian Airports,2015,8,4767313,4767313,9534626,1417242,1453713,2870955,6184555,6221026,12405581
